address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
4326 Eagle Rock Blvd # 18,Eagle Rock,CA,90041,865900,1800.0,3.0,3.0,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/4326-Eagle-Rock-Blvd-18-Eagle-Rock-CA-90041/2087553104_zpid/
4919 Avoca St,LOS ANGELES,CA,90041,999000,2086.0,4.0,3.0,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/4919-Avoca-St-Los-Angeles-CA-90041/20852920_zpid/
2101 Estes Rd,LOS ANGELES,CA,90041,1499999,4473.0,5.0,4.0,114.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/2101-Estes-Rd-Los-Angeles-CA-90041/20845482_zpid/
2545 Medlow Ave,LOS ANGELES,CA,90041,1695000,3576.0,5.0,4.0,62.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/2545-Medlow-Ave-Los-Angeles-CA-90041/20850770_zpid/
1608 Hill Dr,LOS ANGELES,CA,90041,1750000,4534.0,4.0,5.0,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/1608-Hill-Dr-Los-Angeles-CA-90041/20845086_zpid/
1873 Montiflora Ave,LOS ANGELES,CA,90041,749000,1096.0,2.0,1.0,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/1873-Montiflora-Ave-Los-Angeles-CA-90041/20851744_zpid/
1580 1574 Yosemite Dr,Eagle Rock,CA,90041,16000000,44272.0,3.0,2.0,,Apartment for sale,http://www.zillow.com/homes/for_sale//homedetails/1580-1574-Yosemite-Dr-Eagle-Rock-CA-90041/2087124812_zpid/
4835 Algoma Ave,LOS ANGELES,CA,90041,780000,1347.0,3.0,1.75,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/4835-Algoma-Ave-Los-Angeles-CA-90041/20852144_zpid/
4860 La Roda Ave,LOS ANGELES,CA,90041,650000,624.0,2.0,1.0,170.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/4860-La-Roda-Ave-Los-Angeles-CA-90041/20852123_zpid/
4347 Toland Pl,LOS ANGELES,CA,90041,619000,728.0,2.0,1.0,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/4347-Toland-Pl-Los-Angeles-CA-90041/20765410_zpid/
2216 Laverna Ave,LOS ANGELES,CA,90041,1495000,3853.0,7.0,5.0,183.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/2216-Laverna-Ave-Los-Angeles-CA-90041/20851215_zpid/
1654 Fair Park Ave,Eagle Rock,CA,90041,135000,,,,172.0,Lot / Land for sale,http://www.zillow.com/homes/for_sale//homedetails/1654-Fair-Park-Ave-Eagle-Rock-CA-90041/2088304998_zpid/
4340 Eagle Rock Blvd,Los Angeles,CA,90041,1240900,2551.0,0.0,,,Apartment for sale,http://www.zillow.com/homes/for_sale//homedetails/4340-Eagle-Rock-Blvd-Los-Angeles-CA-90041/2088066406_zpid/
5342 Highland View Pl,Los Angeles,CA,90041,296000,,,,4.0,Lot / Land for sale,http://www.zillow.com/homes/for_sale//homedetails/5342-Highland-View-Pl-Los-Angeles-CA-90041/250226137_zpid/
0 Wildwood Dr,Los Angeles (City),CA,90041,55000,6120.0,,,,Lot / Land for sale,http://www.zillow.com/homes/for_sale//homedetails/0-Wildwood-Dr-Los-Angeles-(city)-CA-90041/2103355492_zpid/
0 Goode,Eagle Rock,CA,90041,15000,2178.0,,,172.0,Lot / Land for sale,http://www.zillow.com/homes/for_sale//homedetails/0-Goode-Eagle-Rock-CA-90041/2088304996_zpid/
